Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
WA9,CO,01/01/2021 00:00,,mg m-3,P
WA9,CO,01/01/2021 00:15,,mg m-3,P
WA9,CO,01/01/2021 00:30,,mg m-3,P
WA9,CO,01/01/2021 00:45,,mg m-3,P
WA9,CO,01/01/2021 01:00,,mg m-3,P
WA9,CO,01/01/2021 01:15,,mg m-3,P
WA9,CO,01/01/2021 01:30,,mg m-3,P
WA9,CO,01/01/2021 01:45,,mg m-3,P
WA9,CO,01/01/2021 02:00,,mg m-3,P
WA9,CO,01/01/2021 02:15,,mg m-3,P
WA9,CO,01/01/2021 02:30,,mg m-3,P
WA9,CO,01/01/2021 02:45,,mg m-3,P
WA9,CO,01/01/2021 03:00,,mg m-3,P
WA9,CO,01/01/2021 03:15,,mg m-3,P
WA9,CO,01/01/2021 03:30,,mg m-3,P
WA9,CO,01/01/2021 03:45,,mg m-3,P
WA9,CO,01/01/2021 04:00,,mg m-3,P
WA9,CO,01/01/2021 04:15,,mg m-3,P
WA9,CO,01/01/2021 04:30,,mg m-3,P
WA9,CO,01/01/2021 04:45,,mg m-3,P
WA9,CO,01/01/2021 05:00,,mg m-3,P
WA9,CO,01/01/2021 05:15,,mg m-3,P
WA9,CO,01/01/2021 05:30,,mg m-3,P
WA9,CO,01/01/2021 05:45,,mg m-3,P
WA9,CO,01/01/2021 06:00,,mg m-3,P
WA9,CO,01/01/2021 06:15,,mg m-3,P
WA9,CO,01/01/2021 06:30,,mg m-3,P
WA9,CO,01/01/2021 06:45,,mg m-3,P
WA9,CO,01/01/2021 07:00,,mg m-3,P
WA9,CO,01/01/2021 07:15,,mg m-3,P
WA9,CO,01/01/2021 07:30,,mg m-3,P
WA9,CO,01/01/2021 07:45,,mg m-3,P
WA9,CO,01/01/2021 08:00,,mg m-3,P
WA9,CO,01/01/2021 08:15,,mg m-3,P
WA9,CO,01/01/2021 08:30,,mg m-3,P
WA9,CO,01/01/2021 08:45,,mg m-3,P
WA9,CO,01/01/2021 09:00,,mg m-3,P
WA9,CO,01/01/2021 09:15,,mg m-3,P
WA9,CO,01/01/2021 09:30,,mg m-3,P
WA9,CO,01/01/2021 09:45,,mg m-3,P
WA9,CO,01/01/2021 10:00,,mg m-3,P
WA9,CO,01/01/2021 10:15,,mg m-3,P
WA9,CO,01/01/2021 10:30,,mg m-3,P
WA9,CO,01/01/2021 10:45,,mg m-3,P
WA9,CO,01/01/2021 11:00,,mg m-3,P
WA9,CO,01/01/2021 11:15,,mg m-3,P
WA9,CO,01/01/2021 11:30,,mg m-3,P
WA9,CO,01/01/2021 11:45,,mg m-3,P
WA9,CO,01/01/2021 12:00,,mg m-3,P
WA9,CO,01/01/2021 12:15,,mg m-3,P
WA9,CO,01/01/2021 12:30,,mg m-3,P
WA9,CO,01/01/2021 12:45,,mg m-3,P
WA9,CO,01/01/2021 13:00,,mg m-3,P
WA9,CO,01/01/2021 13:15,,mg m-3,P
WA9,CO,01/01/2021 13:30,,mg m-3,P
WA9,CO,01/01/2021 13:45,,mg m-3,P
WA9,CO,01/01/2021 14:00,,mg m-3,P
WA9,CO,01/01/2021 14:15,,mg m-3,P
WA9,CO,01/01/2021 14:30,,mg m-3,P
WA9,NO,01/01/2021 00:00,1.80000,ug m-3,P
WA9,NO,01/01/2021 00:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 00:30,0.00000,ug m-3,P
WA9,NO,01/01/2021 00:45,0.00000,ug m-3,P
WA9,NO,01/01/2021 01:00,0.00000,ug m-3,P
WA9,NO,01/01/2021 01:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 01:30,0.00000,ug m-3,P
WA9,NO,01/01/2021 01:45,1.80000,ug m-3,P
WA9,NO,01/01/2021 02:00,0.00000,ug m-3,P
WA9,NO,01/01/2021 02:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 02:30,1.80000,ug m-3,P
WA9,NO,01/01/2021 02:45,1.80000,ug m-3,P
WA9,NO,01/01/2021 03:00,1.80000,ug m-3,P
WA9,NO,01/01/2021 03:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 03:30,0.00000,ug m-3,P
WA9,NO,01/01/2021 03:45,0.00000,ug m-3,P
WA9,NO,01/01/2021 04:00,0.00000,ug m-3,P
WA9,NO,01/01/2021 04:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 04:30,0.00000,ug m-3,P
WA9,NO,01/01/2021 04:45,0.00000,ug m-3,P
WA9,NO,01/01/2021 05:00,0.00000,ug m-3,P
WA9,NO,01/01/2021 05:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 05:30,0.00000,ug m-3,P
WA9,NO,01/01/2021 05:45,0.00000,ug m-3,P
WA9,NO,01/01/2021 06:00,0.00000,ug m-3,P
WA9,NO,01/01/2021 06:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 06:30,1.80000,ug m-3,P
WA9,NO,01/01/2021 06:45,5.50000,ug m-3,P
WA9,NO,01/01/2021 07:00,1.80000,ug m-3,P
WA9,NO,01/01/2021 07:15,0.00000,ug m-3,P
WA9,NO,01/01/2021 07:30,1.80000,ug m-3,P
WA9,NO,01/01/2021 07:45,3.70000,ug m-3,P
WA9,NO,01/01/2021 08:00,1.80000,ug m-3,P
WA9,NO,01/01/2021 08:15,1.80000,ug m-3,P
WA9,NO,01/01/2021 08:30,1.80000,ug m-3,P
WA9,NO,01/01/2021 08:45,1.80000,ug m-3,P
WA9,NO,01/01/2021 09:00,1.80000,ug m-3,P
WA9,NO,01/01/2021 09:15,11.00000,ug m-3,P
WA9,NO,01/01/2021 09:30,3.70000,ug m-3,P
WA9,NO,01/01/2021 09:45,3.70000,ug m-3,P
WA9,NO,01/01/2021 10:00,3.70000,ug m-3,P
WA9,NO,01/01/2021 10:15,3.70000,ug m-3,P
WA9,NO,01/01/2021 10:30,3.70000,ug m-3,P
WA9,NO,01/01/2021 10:45,3.70000,ug m-3,P
WA9,NO,01/01/2021 11:00,5.50000,ug m-3,P
WA9,NO,01/01/2021 11:15,5.50000,ug m-3,P
WA9,NO,01/01/2021 11:30,5.50000,ug m-3,P
WA9,NO,01/01/2021 11:45,5.50000,ug m-3,P
