Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
LB4,NO,01/01/2021 12:30,53.80000,ug m-3,P
LB4,NO,01/01/2021 12:45,44.70000,ug m-3,P
LB4,NO,01/01/2021 13:00,32.90000,ug m-3,P
LB4,NO,01/01/2021 13:15,24.20000,ug m-3,P
LB4,NO,01/01/2021 13:30,60.40000,ug m-3,P
LB4,NO,01/01/2021 13:45,77.70000,ug m-3,P
LB4,NO,01/01/2021 14:00,,ug m-3,P
LB4,NO,01/01/2021 14:15,,ug m-3,P
LB4,NO,01/01/2021 14:30,,ug m-3,P
LB4,NOX,01/01/2021 00:00,113.80000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 00:15,102.60000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 00:30,182.70000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 00:45,114.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 01:00,120.60000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 01:15,158.50000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 01:30,133.60001,ug m-3 as NO2,P
LB4,NOX,01/01/2021 01:45,63.50000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 02:00,88.20000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 02:15,78.40000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 02:30,85.90000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 02:45,107.10000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 03:00,100.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 03:15,50.70000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 03:30,87.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 03:45,68.90000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 04:00,83.60000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 04:15,78.40000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 04:30,61.00000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 04:45,110.80000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 05:00,104.50000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 05:15,80.10000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 05:30,74.90000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 05:45,77.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 06:00,98.50000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 06:15,56.80000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 06:30,102.20000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 06:45,98.20000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 07:00,117.10000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 07:15,114.00000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 07:30,100.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 07:45,61.00000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 08:00,83.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 08:15,125.90000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 08:30,82.40000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 08:45,101.00000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 09:00,56.10000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 09:15,71.20000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 09:30,68.70000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 09:45,73.80000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 10:00,92.90000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 10:15,132.39999,ug m-3 as NO2,P
LB4,NOX,01/01/2021 10:30,66.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 10:45,79.60000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 11:00,85.00000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 11:15,100.30000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 11:30,152.70000,ug m-3 as NO2,P
LB4,NOX,01/01/2021 11:45,96.60000,ug m-3 as NO2,P
